cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,complaints_per_100_footfall
6.1,4.7,45.5,5,584,8.5,0.8561643835616438
5.9,5.9,54.6,4,106,9.1,3.7735849056603774
3.5,6.2,95.8,9,446,3.1,2.0179372197309418
10.0,1.0,21.0,1,424,4.6,0.2358490566037736
3.0,7.2,54.5,7,133,9.1,5.263157894736842
6.8,5.0,30.6,3,496,3.3,0.6048387096774194
4.8,5.0,59.3,5,674,19.5,0.741839762611276
5.2,6.8,32.4,7,874,6.3,0.8009153318077803
2.5,8.5,74.7,5,334,10.2,1.4970059880239521
5.6,2.5,88.3,5,60,14.8,8.333333333333332
5.8,5.4,15.5,5,926,26.6,0.5399568034557235
6.2,4.9,33.5,4,439,9.6,0.9111617312072893
5.5,5.5,33.5,4,130,1.7,3.076923076923077
7.2,3.2,37.7,4,827,2.1,0.48367593712212814
8.3,3.5,48.8,1,586,1.0,0.17064846416382254
6.8,3.4,45.3,3,411,2.8,0.7299270072992701
5.0,6.3,59.7,8,447,6.7,1.7897091722595078
6.5,6.6,28.0,6,454,1.8,1.3215859030837005
3.1,8.3,77.3,6,296,4.2,2.027027027027027
7.4,2.6,42.7,4,431,4.5,0.9280742459396751
2.6,9.0,100.0,8,612,0.8,1.3071895424836601
4.5,7.3,75.5,7,367,3.6,1.9073569482288828
5.8,7.2,46.8,5,48,5.0,10.416666666666668
7.6,1.3,27.5,1,205,14.4,0.4878048780487805
7.5,3.9,17.1,3,244,1.0,1.2295081967213115
5.5,4.0,61.5,5,566,9.4,0.88339222614841
8.3,4.1,0.0,4,564,0.5,0.7092198581560284
4.7,6.5,70.4,7,761,3.5,0.9198423127463863
5.6,3.7,71.9,4,404,12.7,0.9900990099009901
9.1,3.5,5.4,3,400,3.1,0.75
6.4,7.4,63.3,5,527,0.5,0.9487666034155597
7.3,1.8,44.1,6,834,8.8,0.7194244604316548
7.7,1.8,37.1,4,522,17.2,0.7662835249042145
2.8,8.2,83.3,7,597,7.3,1.1725293132328307
9.8,1.0,16.1,3,396,3.0,0.7575757575757576
5.0,6.1,50.5,5,528,12.7,0.946969696969697
8.0,1.0,33.5,5,748,2.4,0.6684491978609626
6.4,2.1,7.4,3,873,2.3,0.3436426116838488
5.0,5.3,60.4,9,200,0.9,4.5
5.7,3.0,47.5,4,764,1.6,0.5235602094240838
8.7,1.4,20.0,4,332,5.3,1.2048192771084338
4.9,6.8,77.2,5,428,6.3,1.1682242990654206
6.0,5.8,52.3,4,137,4.4,2.9197080291970803
4.4,4.8,60.5,4,582,8.4,0.6872852233676976
7.8,3.3,4.9,2,496,4.0,0.4032258064516129
5.5,5.6,72.9,3,432,0.8,0.6944444444444444
7.4,1.7,18.0,7,492,1.0,1.4227642276422763
8.0,4.1,2.9,2,629,1.3,0.3179650238473768
6.4,2.1,40.3,2,805,2.1,0.2484472049689441
7.5,2.8,50.3,6,469,9.2,1.279317697228145
5.4,6.9,77.9,6,588,11.0,1.0204081632653061
6.3,5.7,41.1,3,754,5.8,0.3978779840848806
6.1,6.4,31.2,7,640,9.7,1.09375
2.8,7.9,75.5,9,591,0.5,1.5228426395939088
4.7,6.6,67.9,10,308,4.1,3.2467532467532463
4.6,5.1,40.8,2,444,1.7,0.45045045045045046
6.6,5.9,68.2,4,781,2.2,0.5121638924455826
8.3,2.9,29.3,0,185,3.8,0.0
5.4,3.9,72.7,9,656,6.9,1.3719512195121952
10.0,1.0,17.9,3,197,13.0,1.5228426395939088
4.0,5.2,62.0,5,203,25.2,2.4630541871921183
9.8,2.0,0.0,4,444,2.5,0.9009009009009009
3.8,6.4,59.4,6,649,5.0,0.9244992295839755
7.6,4.6,21.4,4,489,3.9,0.81799591002045
5.9,3.7,60.5,4,449,2.1,0.8908685968819599
4.8,5.0,54.7,6,374,9.6,1.6042780748663104
3.3,7.2,76.2,9,571,9.7,1.5761821366024518
6.1,4.5,59.8,4,400,0.5,1.0
6.1,4.3,58.1,3,241,6.4,1.2448132780082988
6.8,5.6,35.0,4,359,7.4,1.1142061281337048
8.1,1.0,38.2,1,514,4.0,0.19455252918287938
4.9,5.6,75.7,6,359,24.2,1.6713091922005572
7.1,5.8,42.9,2,543,0.5,0.3683241252302026
7.2,3.5,48.3,4,574,2.3,0.6968641114982579
3.8,6.7,89.8,6,205,1.4,2.9268292682926833
9.4,1.0,19.7,3,391,4.3,0.7672634271099744
5.8,6.1,79.9,12,735,6.4,1.6326530612244898
4.1,7.0,56.4,6,263,36.0,2.2813688212927756
4.5,6.7,58.7,4,523,4.0,0.7648183556405354
6.5,3.4,46.9,4,649,5.4,0.6163328197226503
5.4,6.0,38.2,6,712,10.7,0.8426966292134831
8.7,2.0,24.0,0,535,2.8,0.0
10.0,3.2,25.3,0,302,13.4,0.0
6.4,5.6,43.1,6,60,5.3,10.0
6.9,1.6,26.7,3,757,0.5,0.3963011889035667
2.8,7.0,73.7,6,196,2.9,3.061224489795918
3.6,9.1,59.2,4,532,18.4,0.7518796992481203
10.0,3.4,37.9,4,773,0.8,0.517464424320828
8.8,4.3,28.2,1,413,2.3,0.24213075060532688
5.1,6.7,45.5,3,357,15.4,0.8403361344537815
6.7,6.3,39.4,5,583,28.7,0.8576329331046313
3.4,6.6,44.0,5,482,3.5,1.0373443983402488
4.0,8.0,69.7,6,553,3.6,1.0849909584086799
4.4,5.7,50.6,5,628,2.5,0.7961783439490446
10.0,1.0,1.1,0,966,4.6,0.0
10.0,1.0,21.0,1,415,13.3,0.24096385542168677
3.8,6.4,67.7,7,360,5.1,1.9444444444444444
5.5,5.7,61.4,3,443,8.6,0.6772009029345373
5.4,4.7,36.2,4,535,0.7,0.7476635514018692
9.4,2.2,0.0,1,254,1.3,0.39370078740157477
8.8,1.0,17.4,0,447,1.9,0.0
3.9,8.2,74.4,8,580,10.4,1.3793103448275863
8.4,1.0,34.3,0,531,16.2,0.0
4.8,7.5,31.4,6,328,21.9,1.8292682926829267
9.7,2.9,24.8,3,612,10.2,0.49019607843137253
5.7,6.5,60.2,5,484,3.5,1.0330578512396695
6.9,3.6,33.0,5,176,3.3,2.840909090909091
7.1,2.9,21.0,4,813,2.1,0.4920049200492005
9.3,2.6,20.9,4,577,3.0,0.6932409012131715
9.7,2.9,13.3,4,770,1.1,0.5194805194805194
5.9,5.8,70.7,3,547,10.3,0.5484460694698354
6.9,4.4,58.9,3,701,2.7,0.42796005706134094
7.5,2.4,51.7,3,647,17.2,0.46367851622874806
7.4,2.5,22.3,3,700,4.5,0.4285714285714286
8.5,3.7,38.2,4,236,4.2,1.694915254237288
5.1,5.8,44.1,9,413,8.7,2.1791767554479415
6.8,3.7,59.6,3,635,6.1,0.47244094488188976
5.1,4.7,72.6,4,667,25.9,0.5997001499250375
5.2,5.4,49.7,3,299,14.0,1.0033444816053512
8.8,4.6,18.7,2,398,19.8,0.5025125628140703
5.9,7.3,60.4,5,333,1.2,1.5015015015015014
5.8,4.0,47.2,6,534,2.9,1.1235955056179776
7.8,4.7,26.7,2,274,5.0,0.7299270072992701
6.9,5.6,53.4,4,243,1.9,1.646090534979424
6.0,5.8,55.0,5,558,0.5,0.8960573476702508
5.2,6.0,73.0,7,295,10.2,2.3728813559322033
9.7,1.0,0.0,1,298,4.1,0.33557046979865773
6.7,2.4,47.0,4,334,4.3,1.1976047904191618
5.1,6.6,49.4,7,597,5.4,1.1725293132328307
7.9,4.9,25.7,4,565,1.4,0.7079646017699115
8.9,1.5,4.3,3,493,8.6,0.6085192697768762
4.6,5.0,66.4,4,514,3.3,0.7782101167315175
5.8,5.3,52.5,3,353,14.5,0.84985835694051
4.9,8.1,51.4,5,670,1.6,0.7462686567164178
8.4,2.2,36.4,4,41,0.7,9.75609756097561
6.0,4.2,46.8,6,383,3.1,1.5665796344647518
5.2,7.3,47.1,5,539,25.0,0.927643784786642
5.7,6.1,60.8,7,360,6.8,1.9444444444444444
4.0,8.6,74.1,6,127,10.1,4.724409448818897
4.3,7.8,64.7,11,225,1.6,4.888888888888889
5.5,7.7,35.1,3,416,5.6,0.7211538461538461
3.1,8.4,81.4,5,93,9.6,5.376344086021505
5.8,4.3,39.0,3,491,4.5,0.6109979633401221
6.1,4.2,30.7,1,476,5.2,0.21008403361344538
6.7,3.6,41.7,6,744,6.1,0.8064516129032258
8.6,2.5,13.5,6,571,21.9,1.0507880910683012
8.2,2.2,17.4,2,558,0.6,0.35842293906810035
8.0,3.7,38.8,2,390,9.2,0.5128205128205128
6.7,4.2,43.4,5,552,7.0,0.9057971014492754
7.9,4.4,35.2,3,327,17.7,0.9174311926605505
6.5,5.2,26.0,4,560,4.0,0.7142857142857143
5.7,3.1,44.0,5,873,0.5,0.572737686139748
6.4,3.4,53.9,2,497,0.8,0.4024144869215292
4.8,3.9,51.5,3,474,8.9,0.6329113924050633
5.4,2.6,62.5,4,463,16.3,0.8639308855291578
7.9,3.1,54.3,5,191,15.1,2.6178010471204187
7.0,2.7,26.8,7,569,3.1,1.2302284710017575
9.1,2.6,0.0,0,102,5.9,0.0
5.7,6.3,29.7,2,546,4.4,0.3663003663003663
7.4,3.0,74.1,8,709,3.4,1.1283497884344147
8.1,1.3,22.4,0,473,7.8,0.0
9.9,1.0,0.0,0,453,5.7,0.0
5.5,8.8,61.4,8,452,18.4,1.7699115044247788
8.6,1.8,55.0,5,739,4.5,0.6765899864682002
10.0,1.0,1.1,0,129,2.6,0.0
7.5,4.1,74.6,6,451,3.4,1.3303769401330376
9.1,3.9,33.0,1,519,4.9,0.1926782273603083
7.4,2.7,23.5,5,177,11.4,2.824858757062147
2.6,8.4,86.9,9,198,1.3,4.545454545454546
5.9,6.2,82.0,4,215,0.7,1.8604651162790697
8.0,4.6,26.5,3,135,6.2,2.2222222222222223
6.0,3.7,28.6,2,264,7.4,0.7575757575757576
6.5,6.9,30.7,3,564,1.3,0.5319148936170213
7.5,2.7,55.1,1,813,1.1,0.12300123001230012
7.5,4.1,45.5,7,597,0.5,1.1725293132328307
5.1,7.1,26.0,6,477,36.0,1.257861635220126
5.6,5.4,39.5,6,581,6.6,1.0327022375215147
6.9,4.7,40.2,5,410,3.9,1.2195121951219512
5.3,5.3,49.1,4,401,10.8,0.997506234413965
10.0,1.0,27.4,1,772,1.7,0.1295336787564767
7.4,3.8,27.5,2,646,7.0,0.30959752321981426
6.2,6.9,44.8,7,216,5.7,3.2407407407407405
4.5,7.9,79.9,7,393,9.7,1.7811704834605597
6.0,5.5,24.3,2,377,1.4,0.5305039787798408
6.4,6.2,40.7,3,293,4.1,1.023890784982935
7.1,5.4,21.7,4,526,2.9,0.7604562737642585
5.9,5.8,59.8,4,324,11.1,1.2345679012345678
3.7,7.6,78.5,11,522,2.6,2.10727969348659
5.9,4.0,29.9,6,846,2.4,0.7092198581560284
8.4,4.9,19.3,5,348,3.2,1.4367816091954022
5.1,6.0,24.5,3,307,1.1,0.9771986970684038
4.7,7.1,54.1,7,589,4.8,1.1884550084889642
7.5,3.4,18.0,2,58,7.9,3.4482758620689653
4.8,5.7,50.5,5,465,19.1,1.0752688172043012
8.3,2.7,0.0,5,444,19.5,1.1261261261261262
6.2,3.0,51.9,4,520,5.3,0.7692307692307693
4.9,7.9,44.6,5,148,3.1,3.3783783783783785
9.1,3.6,0.0,1,336,8.3,0.2976190476190476
5.8,6.1,49.1,4,590,23.1,0.6779661016949152
9.3,1.1,26.2,1,303,8.7,0.33003300330033003
7.8,2.7,24.4,2,327,1.2,0.6116207951070336
3.8,7.3,42.6,4,454,6.8,0.881057268722467
4.6,6.2,66.5,6,376,17.5,1.5957446808510638
8.7,1.0,31.3,1,20,4.4,5.0
4.3,6.6,77.9,4,516,9.6,0.7751937984496124
8.5,3.6,29.1,3,943,0.5,0.3181336161187699
3.7,8.5,72.5,8,20,4.1,40.0
6.3,3.9,26.5,2,314,1.5,0.6369426751592357
6.2,3.9,49.2,2,431,8.4,0.46403712296983757
5.8,4.6,59.1,7,413,12.4,1.694915254237288
6.4,5.1,31.8,4,296,15.4,1.3513513513513513
7.0,4.5,66.4,4,248,12.7,1.6129032258064515
6.9,1.7,42.3,6,878,5.5,0.683371298405467
7.2,1.0,38.2,3,246,2.9,1.2195121951219512
6.0,5.8,37.9,5,391,14.6,1.278772378516624
8.1,4.5,25.5,4,436,7.8,0.9174311926605505
2.9,7.6,88.8,10,498,0.5,2.0080321285140563
7.9,3.9,21.7,7,945,24.5,0.7407407407407408
5.4,3.7,45.2,3,528,2.5,0.5681818181818182
7.0,2.5,37.7,3,676,13.7,0.4437869822485207
4.3,7.6,64.7,5,551,20.5,0.9074410163339384
5.5,5.7,70.5,4,20,3.1,20.0
8.1,4.9,40.0,2,736,18.7,0.2717391304347826
5.7,5.6,46.0,5,453,1.1,1.1037527593818985
7.2,4.5,32.4,5,451,20.4,1.1086474501108647
4.9,5.9,57.2,9,336,0.5,2.6785714285714284
8.4,1.8,27.5,3,735,3.3,0.40816326530612246
5.7,5.4,72.3,5,472,35.9,1.059322033898305
4.7,7.4,61.5,4,440,5.2,0.9090909090909091
7.7,3.7,62.6,3,270,19.3,1.1111111111111112
5.7,4.6,52.2,6,398,1.2,1.507537688442211
3.2,6.3,66.1,5,308,3.6,1.6233766233766231
6.4,3.4,52.7,3,522,7.0,0.5747126436781609
4.7,5.7,100.0,9,106,4.2,8.49056603773585
6.0,5.9,57.9,6,507,11.5,1.183431952662722
8.0,4.1,30.4,4,415,1.6,0.9638554216867471
5.5,5.5,67.5,6,579,11.5,1.0362694300518136
6.2,4.5,28.5,9,442,8.7,2.0361990950226243
5.7,6.7,64.5,7,520,5.0,1.3461538461538463
7.1,2.8,27.7,3,650,13.8,0.46153846153846156
4.6,8.5,84.6,7,20,2.9,35.0
6.0,6.1,45.7,4,142,2.1,2.8169014084507045
3.5,9.8,85.4,11,1148,10.9,0.9581881533101044
6.9,4.3,35.3,2,521,1.1,0.3838771593090211
4.8,4.5,60.1,7,346,4.9,2.023121387283237
7.7,3.6,19.9,5,124,0.7,4.032258064516129
6.1,4.6,68.0,6,395,10.5,1.5189873417721518
6.0,5.4,70.8,4,370,3.5,1.0810810810810811
4.7,6.3,66.2,9,445,24.5,2.0224719101123596
9.4,1.0,37.8,2,372,9.6,0.5376344086021506
5.3,8.0,74.7,9,713,8.5,1.262272089761571
10.0,1.0,8.0,1,47,7.5,2.127659574468085
9.0,2.3,27.1,3,708,9.1,0.423728813559322
9.5,2.0,0.0,2,465,8.3,0.43010752688172044
5.7,6.5,45.3,6,497,4.6,1.2072434607645874
8.9,2.7,25.7,3,382,8.9,0.7853403141361256
7.6,4.4,41.4,6,717,7.8,0.8368200836820083
