cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning
6.1,4.7,45.5,5,584,8.5
5.9,5.9,54.6,4,106,9.1
3.5,6.2,95.8,9,446,3.1
10.0,1.0,21.0,1,424,4.6
3.0,7.2,54.5,7,133,9.1
6.8,5.0,30.6,3,496,3.3
4.8,5.0,59.3,5,674,19.5
5.2,6.8,32.4,7,874,6.3
2.5,8.5,74.7,5,334,10.2
5.6,2.5,88.3,5,60,14.8
5.8,5.4,15.5,5,926,26.6
6.2,4.9,33.5,4,439,9.6
5.5,5.5,33.5,4,130,1.7
7.2,3.2,37.7,4,827,2.1
8.3,3.5,48.8,1,586,1.0
6.8,3.4,45.3,3,411,2.8
5.0,6.3,59.7,8,447,6.7
6.5,6.6,28.0,6,454,1.8
3.1,8.3,77.3,6,296,4.2
7.4,2.6,42.7,4,431,4.5
2.6,9.0,100.0,8,612,0.8
4.5,7.3,75.5,7,367,3.6
5.8,7.2,46.8,5,48,5.0
7.6,1.3,27.5,1,205,14.4
7.5,3.9,17.1,3,244,1.0
5.5,4.0,61.5,5,566,9.4
8.3,4.1,0.0,4,564,0.5
4.7,6.5,70.4,7,761,3.5
5.6,3.7,71.9,4,404,12.7
9.1,3.5,5.4,3,400,3.1
6.4,7.4,63.3,5,527,0.5
7.3,1.8,44.1,6,834,8.8
7.7,1.8,37.1,4,522,17.2
2.8,8.2,83.3,7,597,7.3
9.8,1.0,16.1,3,396,3.0
5.0,6.1,50.5,5,528,12.7
8.0,1.0,33.5,5,748,2.4
6.4,2.1,7.4,3,873,2.3
5.0,5.3,60.4,9,200,0.9
5.7,3.0,47.5,4,764,1.6
8.7,1.4,20.0,4,332,5.3
4.9,6.8,77.2,5,428,6.3
6.0,5.8,52.3,4,137,4.4
4.4,4.8,60.5,4,582,8.4
7.8,3.3,4.9,2,496,4.0
5.5,5.6,72.9,3,432,0.8
7.4,1.7,18.0,7,492,1.0
8.0,4.1,2.9,2,629,1.3
6.4,2.1,40.3,2,805,2.1
7.5,2.8,50.3,6,469,9.2
5.4,6.9,77.9,6,588,11.0
6.3,5.7,41.1,3,754,5.8
6.1,6.4,31.2,7,640,9.7
2.8,7.9,75.5,9,591,0.5
4.7,6.6,67.9,10,308,4.1
4.6,5.1,40.8,2,444,1.7
6.6,5.9,68.2,4,781,2.2
8.3,2.9,29.3,0,185,3.8
5.4,3.9,72.7,9,656,6.9
10.0,1.0,17.9,3,197,13.0
4.0,5.2,62.0,5,203,25.2
9.8,2.0,0.0,4,444,2.5
3.8,6.4,59.4,6,649,5.0
7.6,4.6,21.4,4,489,3.9
5.9,3.7,60.5,4,449,2.1
4.8,5.0,54.7,6,374,9.6
3.3,7.2,76.2,9,571,9.7
6.1,4.5,59.8,4,400,0.5
6.1,4.3,58.1,3,241,6.4
6.8,5.6,35.0,4,359,7.4
8.1,1.0,38.2,1,514,4.0
4.9,5.6,75.7,6,359,24.2
7.1,5.8,42.9,2,543,0.5
7.2,3.5,48.3,4,574,2.3
3.8,6.7,89.8,6,205,1.4
