facility_id,location,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date
F001,Amravati,8,2,Low,Yes,450,12,2026-01-05
F002,Akola,6,5,Medium,Yes,620,25,2026-01-08
F003,Nagpur,9,1,Low,Yes,850,8,2026-01-12
F004,Yavatmal,5,7,High,No,300,40,2026-01-15
F005,Pune,7,4,Medium,Yes,1200,30,2026-01-20
F006,Nashik,8,3,Low,Yes,780,15,2026-01-25
F007,Mumbai,6,6,High,Yes,2500,75,2026-02-01
F008,Pune,7,4,Medium,Yes,1200,30,2026-01-20
F009,Amravati,,3,Medium,Yes,500,18,2026-02-05
F010,Akola,4,8,High,No,280,55,2026-02-10
F011,Nagpur,10,1,Low,Yes,920,5,2026-02-15
F012,Yavatmal,3,9,High,No,150,60,2026-02-20
F013,Nashik,8,2,Low,Yes,670,,2026-02-25
F014,Mumbai,7,5,Medium,Yes,15000,80,2026-03-01
F015,Pune,11,3,Low,Yes,900,10,2026-03-05
F016,Akola,-2,4,Medium,Yes,400,20,2026-03-10
F017,Nagpur,9,2,Low,Yes,880,7,2026-03-15
F018,Yavatmal,5,7,High,No,320,45,2026-03-20
F019,Amravati,7,3,Medium,Yes,540,17,2026-03-25
F020,Nashik,8,2,Low,Yes,710,13,2026-03-30
F008,Pune,7,4,Medium,Yes,1200,30,2026-01-20
